ID ( = no data),Continent,ISO code (Code ISO 3166.1),Country,State code,Area,City,Name,2nd name,Latitude (WGS84),Longitude (WGS84),Altitude/Depth (m),Location accuracy (Yes = accurate location),Offshore - Shore distance (km),Manufacturer,Turbine,Hub height (m),Number of turbines,Total power (kW),Developer,Operator,Owner,Commissioning date (Format: yyyy or yyyymm),Status,Update
7107,Europe,GB,United-Kingdom,,Offshore,,Greater Gabbard 2,,51.801821500783,1.8896484375,-22,No,Yes (34 km),Siemens,SWT-3.6-107,78,60,216000,Airtricity/WPO,Scottish & Southern,Scottish & Southern/RWE,2012/09,Production,14/03/2018
7108,Europe,DK,Denmark,,Offshore,,Rønland,,56.6612167,8.2209009,0,Yes,Yes (0.1 km),Vestas,V80/2000,78,4,8000,Thyboren-Harboöre Vindmöllelaug,Thyboren-Harboöre Vindmöllelaug,Thyboren-Harboöre Vindmöllelaug,2003/01,Production,25/06/2018
7141,Europe,BE,Belgium,,Offshore,,Belwind I,Bligh Bank I,51.67,2.8,-25,No,Yes (46 km),Vestas,V90/3000 Offshore,72,55,165000,Belwind,Electrabel/Belwind,Parkwind NV,2010/12,Production,12/1/2018
7277,Europe,DE,Germany,,Offshore,,Gode Wind I,,54.16,6.983,-30,No,Yes (41 km),Siemens,SWT-6.0-154,,55,330000,PNE/Orsted,Orsted,Orsted/PKA/,2017/07,Production,13/02/2018
7279,Asia,IN,India,,Offshore,,Tamil Nadu Energy Development Agency,,9.1,79.,,No,Yes,,,,,200000,,,,,Planned,18/06/2018
7282,Europe,FR,France,,Offshore,,Fécamp Offshore,Hautes Falaises,45.981248464556,0.45380283834983,-30,No,Yes (15 km),GE Energy,Haliade 150,100,83,498000,Eolien Maritime France,,EDF-EN/Enbridge/WPD,,Planned,18/05/2018
7385,Europe,GB,United-Kingdom,,Offshore,,Gunfleet Sands 2,,51.7372345464578,1.1700439453125,-10,No,Yes (7 km),Siemens,SWT-3.6-107,75,18,64800,Orsted,Orsted,Orsted/Marubeni/Development Bank of Japan,2010/04,Production,16/02/2018
7386,Asia,CN,China,,Offshore,,Hong Kong Offshore Wind Farm,,22.27,114.42,-25,No,Yes (11 km),,,80,67,201000,WPO/CLP Group,,,,Approved,22/02/2018
7387,Europe,BE,Belgium,,Offshore,,Belwind II,Bligh Bank II - Nobelwind,51.66,2.82,-25,No,Yes (42 km),MHI Vestas Offshore,V112/3300,72,50,165000,Belwind/Parkwind NV,Electrabel,Parkwind NV/Meewind/Sumitomo,2017/05,Production,12/1/2018
7388,Europe,GB,United-Kingdom,,Offshore,,Blyth,,55.1317895830221,-1.461181640625,-8,No,Yes (1 km),Vestas,V66/2000,62,0,0,E.ON Climate Renewables/Vattenfall/Shell Wind Energy/Orkney Sustainable Energy,,,2000/12,Dismantled,16/02/2018
7389,Europe,GB,United-Kingdom,,Offshore,,Gwynt y Mor,,53.46,-3.599,-20,No,Yes (17 km),Siemens,SWT-3.6-107,98,160,576000,RWE/Siemens,RWE,RWE/Siemens/Green Investment Bank/Stadtwerke München,2014/11,Production,16/02/2018
7390,Europe,GB,United-Kingdom,,Offshore,,Lynn and Inner Dowsing,,53.1566530531579,0.4119873046875,-4,No,Yes,Siemens,SWT-3.6-107,85,54,194400,Centrica/RES,Siemens,Green Investment Bank/BlackRock Infrastructure Investment Group,2009/03,Production,16/02/2018
7391,Europe,GB,United-Kingdom,,Offshore,,North Hoyle,,53.417,-3.448,-9,No,Yes,Vestas,V80/2000,67,30,60000,RWE,RWE,Greencoat UK Wind,2003/12,Production,16/02/2018
7392,Europe,GB,United-Kingdom,,Offshore,,Robin Rigg,,54.756,-3.71,-9,No,Yes (11 km),Vestas,V90/3000 Offshore,80,58,174000,E.ON Climate Renewables,E.ON Climate Renewables,E.ON Climate Renewables,2010/04,Production,16/02/2018
7393,Europe,DK,Denmark,,Offshore,,Rønland,,56.6612167,8.2209009,0,Yes,Yes (0.1 km),Bonus,B82/2300,79,4,9200,Dansk Vindenergi,Dansk Vindenergi,Dansk Vindenergi,2003/01,Production,25/06/2018
7394,Europe,GB,United-Kingdom,,Offshore,,Sheringham Shoal,,53.135,1.147,-20,No,Yes (22 km),Siemens,SWT-3.6-107,82,88,316800,Statoil/WPO,Statkraft,Statoil/Green Investment Bank/Trig/Equitix,2012/09,Production,16/02/2018
7395,Europe,GB,United-Kingdom,,Offshore,,Walney,Phase 2,54.81,-3.605,-95,No,Yes,Siemens,SWT-3.6-107,90,51,183600,Orsted/Scottish & Southern,Orsted,Orsted/Scottish & Southern/Ampere Equity Fund/PGGM,2012/04,Production,16/02/2018
