ID ( = no data),Continent,ISO code (Code ISO 3166.1),Country,State code,Area,City,Name,2nd name,Latitude (WGS84),Longitude (WGS84),Altitude/Depth (m),Location accuracy (Yes = accurate location),Offshore - Shore distance (km),Manufacturer,Turbine,Hub height (m),Number of turbines,Total power (kW),Developer,Operator,Owner,Commissioning date (Format: yyyy or yyyymm),Status,Update
10785,America,CA,Canada,,Offshore,,Trillium Power Wind 2,,43.8,-76.7,-60,No,Yes (20 km),Vestas,,,,740000,Trillium Power Wind Corporation,,Trillium Power Wind Corporation,,Planned,11/6/2018
10786,Europe,GB,United-Kingdom,,Offshore,,Triton Knoll Wind Farm,Part 1,53.479,0.837,-20,No,Yes (35 km),MHI Vestas Offshore,V164/9500,140,30,285000,RWE/Statkraft,RWE,RWE,,Approved,16/02/2018
10788,Europe,GR,Greece,,Offshore,,DWI Peloponese,,36.8,21.6,-2135,No,Yes,,,,,86400,,,,,Planned,8/2/2018
10789,Asia,CN,China,,Offshore,,Zhangpu Liuao offshore wind farm demonstration project,Phase 2,23.9,117.8,-21,No,Yes,,,,,150000,,,,,Approved,7/1/2016
10793,Europe,IE,Ireland,,Offshore,,Dublin Array,,53.23,-5.918,-20,No,Yes (10 km),,,100,145,600000,Saorgus Energy,,Saorgus Energy/Innogy,,Planned,23/05/2018
11112,Europe,SE,Sweden,,Offshore,,Utknallen,,60.87,17.83,-38,No,Yes (30 km),,,,,,,,,,Planned,15/01/2018
11426,Asia,KR,South Korea,,Offshore,,Uram - Korean Western Power,,37.33,126.15,-21,No,Yes,,,,,360000,Uram General Construction/Korean Western Power,,Uram General Construction/Korean Western Power,,Planned,23/05/2018
11632,Asia,JP,Japan,,Offshore,,Mutsu Bay,,41.2,141.18,-27,No,Yes,,,,,800000,Japan Wind Develoment/Aomori,,Japan Wind Develoment/Aomori,,Planned,22/05/2018
12051,Europe,GB,United-Kingdom,,Offshore,,Beatrice,,58.25,-2.88,-42,No,Yes (18 km),Siemens,SWT-7.0-154,,84,588000,Scottish & Southern/Talisman Energy,,Scottish & Southern/Copenhagen Infrastructure Partners/SDIC Power,,Construction,14/03/2018
12052,Europe,GB,United-Kingdom,,Offshore,,Inch Cape,,56.49,-2.195,-50,No,Yes (20 km),,,107,110,784000,SeaEnergyRenewables,,SDIC Power,,Approved,16/02/2018
12053,Europe,BE,Belgium,,Offshore,,Norther,North Sea Power,51.5280567,3.158475,-25,Yes,Yes (24 km),MHI Vestas Offshore,V164/8400,,44,369600,Electrawinds,Electrawinds,Diamond Generating Europe/Elicio/Eneco,,Approved,22/01/2018
12054,Europe,GB,United-Kingdom,,Offshore,,Neart na Gaoithe,,56.267,-2.25,-46,No,Yes,Siemens,SWT-7.0-154,126,64,448000,Mainstream Renewable Power,Mainstream Renewable Power,EDF-EN,,Approved,25/06/2018
12055,Europe,BE,Belgium,,Offshore,,Northwester 2,,51.686,2.757,-30,Yes,Yes (50 km),MHI Vestas Offshore,,,23,218500,Colruyt,,InControl/Wagram Invest/TTR Energy/Parkwind NV,,Approved,25/04/2018
12057,Asia,CN,China,,Offshore,,Yangjiang Hailin Island 400MW concession project,,,,,No,Yes,,,,,49500,,,,,Planned,3/8/2017
12059,America,US,USA,,Offshore,,Dong Energy Massachusetts,Bay State Wind,40.96,-70.83,-51,No,Yes,,,,,2000000,Orsted/Eversource,,Orsted/Eversource,,Planned,14/02/2018
12064,Europe,BE,Belgium,,Offshore,,Rentel,,51.59,2.94,-25,No,Yes (32 km),Siemens,SWT-7.0-154,106,42,309000,Rentel NV,Siemens,Elicio/Aspiravi/Otary/DEME/Socofe/,,Construction,2/7/2018
12067,Asia,IN,India,,Offshore,,ONGC - Pilot Project,,18.6,72.6,-28,No,Yes,,,,,10000,Oil and Natural Gas Corp,,Oil and Natural Gas Corp,,Planned,18/06/2018
12068,Asia,IN,India,,Offshore,,ONGC - Vertical Axis Pilot Project,,20.4,72.8,-7,No,Yes,,,,1,,Oil and Natural Gas Corp,,Oil and Natural Gas Corp,,Planned,18/06/2018
12070,Europe,GB,United-Kingdom,,Offshore,,Humber Gateway,,53.6185793648954,0.293,-15,No,Yes (10 km),Vestas,V112/3000 Offshore,80,73,219000,E.ON Climate Renewables,E.ON Climate Renewables,E.ON Climate Renewables,2015/06,Production,16/02/2018
12071,Europe,GB,United-Kingdom,,Offshore,,Race Bank,,53.276,0.841,-15,No,Yes (32 km),Siemens,SWT-6.0-154,110,91,573300,Orsted/Siemens,Orsted,Orsted/Macquarie/Sumitomo,2018/02,Production,16/02/2018
12072,Europe,GB,United-Kingdom,,Offshore,,Dudgeon,,53.265,1.38,-20,No,Yes (32 km),Siemens,SWT-6.0-154,,67,402000,Statkraft/Statoil,Statoil,China Resources/Statoil/Masdar,2017/10,Production,22/05/2018
12073,Asia,CN,China,,Offshore,,Tangshan - Area 9 (intertidal),,39.8,118.15,42,No,Yes (8 km),,,,,300000,,,,,Planned,7/1/2016
12352,Asia,JP,Japan,,Offshore,,Saitec-Univergy,,,,,No,Yes,,,,,,,,,,Planned,10/4/2018
13053,Asia,AZ,Azerbaijan,,Offshore,,Pirallahi,,40.38,50.46,-29,No,Yes,,,,,200000,,,,,Planned,24/05/2018
14480,Europe,SE,Sweden,,Offshore,,Gretas Klackar,,61.52,17.72,-36,No,Yes (18 km),,,,,,,,,,Planned,15/01/2018
15384,Europe,BE,Belgium,,Offshore,,Thorntonbank,Part 2,51.56,2.97,-20,No,Yes (27 km),Senvion,6M126,95,30,184500,C-Power NV,C-Power NV,DEME/EDF-EN/Socofe/Nuhma/RWE/,2013/01,Production,25/06/2018
15385,Europe,BE,Belgium,,Offshore,,Thorntonbank,Part 3,51.54,2.92,-20,No,Yes (26 km),Senvion,6M126,95,18,110700,C-Power NV,C-Power NV,DEME/EDF-EN/Socofe/Nuhma/RWE/,2013/07,Production,25/06/2018
15480,Europe,EE,Estonia,,Offshore,,Baltic Blue D - Phase 2,,58.61,22.13,-33,No,Yes (8 km),,,,50,350000,Baltic Blue Energy OU,Baltic Blue Energy OU,Baltic Blue Energy OU,,Planned,28/05/2018
15482,Asia,CN,China,,Offshore,,Tangshan - Area 8 (intertidal),,39.7,118.73,37,No,Yes (9 km),,,,,200000,,,,,Planned,7/1/2016
15483,Asia,CN,China,,Offshore,,Tangshan - Area 7 (intertidal),,39.13,118.63,-6,No,Yes (5 km),,,,,100000,,,,,Planned,2/7/2015
15484,Asia,CN,China,,Offshore,,Tangshan - Area 6 - phase IV,,39.29,119.58,-20,No,Yes (31 km),,,,,300000,,,,,Planned,24/05/2018
15487,Asia,CN,China,,Offshore,,Tangshan - Area 6 - phase III,,39.23,119.5,-20,No,Yes (29 km),,,,,300000,,,,,Planned,24/05/2018
15488,Asia,CN,China,,Offshore,,Tangshan - Area 6 - phase II,,39.18,119.43,-20,No,Yes (28 km),Siemens,SWT-4.0-130,,75,300000,Hebei Construction Investment,,,,Construction,24/05/2018
15489,Asia,CN,China,,Offshore,,Tangshan - Area 6 - phase I,,39.13,119.35,-20,No,Yes (28 km),,,,,300000,,,,,Planned,24/05/2018
15490,Asia,CN,China,,Offshore,,Tangshan - Area 5 - phase III,,38.94,119.19,-23,No,Yes (30 km),,,,,300000,,,,,Planned,7/1/2016
15509,Asia,CN,China,,Offshore,,Tangshan - Area 5 - phase II,,38.91,119.8,-25,No,Yes (28 km),,,,,300000,Huaneng Group,,,,Planned,24/05/2018
15510,Asia,CN,China,,Offshore,,Tangshan - Area 5 - phase I,,38.88,118.97,-25,No,Yes (28 km),,,,,300000,,,,,Planned,7/1/2016
15515,Asia,CN,China,,Offshore,,Tangshan - Area 4 - phase II,,38.98,118.22,-5,No,Yes (11 km),,,,,300000,,,,,Planned,7/1/2016
15517,Asia,CN,China,,Offshore,,Tangshan - Area 4 - phase I,,39.3,118.5,-8,No,Yes (17 km),,,,,300000,,,,,Planned,7/1/2016
15520,America,US,USA,,Offshore,,Morro Bay floating project,,,,,No,Yes,,,,,765000,,,,,Planned,13/07/2017
15894,Asia,JP,Japan,,Offshore,,Kamisu,Phase 2,35.8961515,140.726063,-5,Yes,Yes,Subaru,Subaru 80/2.0,60,8,16000,Wind Power Ibaraki,Wind Power Ibaraki,Wind Power Ibaraki/,2004/01,Production,18/04/2018
15930,Europe,DK,Denmark,,Offshore,,Avedøre Holme,,55.6,12.46,-2,No,Yes (0.5 km),Siemens,SWT-3.6-120,120,3,10800,Orsted,Orsted,Orsted/,2011/12,Production,23/05/2018
15997,Asia,JP,Japan,,Offshore,,Kamisu,Phase 1,35.8961515,140.726063,-5,Yes,Yes,Subaru,Subaru 80/2.0,60,7,14000,Komatsuzaki,Wind Power Ibaraki,Wind Power Ibaraki/,2010/03,Production,18/04/2018
15998,Asia,JP,Japan,,Offshore,,Sakata,,38.967,139.822,-4,No,Yes,Vestas,V90/2000,60,5,10000,Japan Renewable Energy Corporation,,Japan Renewable Energy Corporation,2004/01,Production,16/01/2018
15999,Asia,JP,Japan,,Offshore,,Setana Offshore,,42.443,139.839,-10,Yes,Yes,Vestas,V47/660,47,2,1320,Setana Town,Setana Town,Setana Town,2004/04,Production,19/04/2018
16004,Europe,SE,Sweden,,Offshore,,Stenkalles grund,,59.22,13.31,44,No,Yes,,,120,20,100000,Rewind Offshore AB,,Rewind Offshore AB/,,Approved,15/01/2018
16047,Europe,BE,Belgium,,Offshore,,Northwind,Eldepasco,51.619,2.901,-20,Yes,Yes (37 km),Vestas,V112/3000 Offshore,71,72,216000,Northwind NV,Aspiravi/Parkwind NV,Aspiravi/Sumitomo/Parkwind NV,2014/06,Production,9/3/2018
16101,Asia,IN,India,,Offshore,,Tamil Nadu - Suzlon,,8.2,78.,-20,No,Yes,,,,,500000,Suzlon,,Suzlon,,Planned,18/06/2018
16105,Europe,FI,Finland,,Offshore,,Inkoo,Inkoo-Raaseporin,59.86,23.89,-8,Yes,Yes (12 km),,,100,60,300000,Suomen Hyotytuuli Oy,,,,Planned,12/6/2018
16108,Europe,FI,Finland,,Offshore,,Ulkonahkiainen,,64.61,23.89,-15,No,Yes (20 km),,,,70,210000,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,,Planned,12/6/2018
16109,Europe,FI,Finland,,Offshore,,Raahe,Maanahkiaisen,64.58,24.9,-10,Yes,Yes (5 km),,,,70,350000,Rajakiiri Oy,Rajakiiri Oy,Rajakiiri Oy,,Planned,12/6/2018
16110,Europe,FI,Finland,,Offshore,,Raahe,Pertunmatala,64.78,24.4,-12,No,Yes (7 km),,,,24,72000,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,,Planned,12/6/2018
16113,Europe,FI,Finland,,Offshore,,Suurhiekka,,65.28,24.61,-15,Yes,Yes (6 km),,,100,80,480000,WPD,,WPD,,Planned,12/6/2018
16115,Europe,FI,Finland,,Offshore,,Pori Offshore 1,Reposaaren Tuulipuisto,61.62,21.35,-20,Yes,Yes (7 km),Siemens,SWT-2.3-101,80,1,2300,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,2010/07,Production,12/6/2018
16237,Europe,EE,Estonia,,Offshore,,Baltic Blue C - Phase 2,,58.57,22.4,10,No,Yes (7 km),,,,60,420000,Baltic Blue Energy OU,Baltic Blue Energy OU,Baltic Blue Energy OU,,Planned,28/05/2018
16287,Europe,DE,Germany,,Offshore,,Meerwind Süd,,54.4285175105634,7.6190185546875,-25,No,Yes (55 km),Siemens,SWT-3.6-120,85,40,144000,Blackstone/Windland Energieerzeugungs GmbH,Blackstone/Windland Energieerzeugungs GmbH,Three Gorges/,2015/03,Production,13/02/2018
16288,Europe,DE,Germany,,Offshore,,Meerwind Ost,,54.4285175105634,7.6190185546875,-25,No,Yes (55 km),Siemens,SWT-3.6-120,85,40,144000,Blackstone/Windland Energieerzeugungs GmbH,Blackstone/Windland Energieerzeugungs GmbH,Three Gorges/,2015/03,Production,13/02/2018
16291,Europe,GB,United-Kingdom,,Offshore,,Walney,Phase 1,53.8104413,-4.9074381,-109,No,Yes,Siemens,SWT-3.6-107,84,51,183600,Orsted/Scottish & Southern,Orsted,Orsted/Scottish & Southern/Ampere Equity Fund/PGGM,2011/07,Production,16/02/2018
16318,Asia,CN,China,,Offshore,,Tangshan - Area 2,,39.1,118.99,-15,No,Yes,,,,,200000,,,,,Planned,2/7/2015
16320,Asia,CN,China,,Offshore,,Shengsi #7 Offshore Wind Power Project,,30.73,122.15,-8,No,Yes (30 km),,,,,200000,,,,,Planned,7/1/2016
16323,Asia,CN,China,,Offshore,,Huaneng Hainan Wenchang 1# offshore wind farm,,19.97,111.5,-75,No,Yes (11 km),,,,,200000,,,,,Planned,7/1/2016
16325,Asia,VN,Vietnam,,Offshore,,Bac Lieu Province Wind Power Plant,Phase 3,9.2229145,105.7951585,0,No,Yes,GE Energy,,,71,142000,Cong Ly/Super Wind Energy,Cong Ly/Super Wind Energy,Cong Ly/Super Wind Energy,,Construction,31/05/2018
16327,Asia,CN,China,,Offshore,,Jiangsu Rudong 300MW Offshore (Intertidal) Demonstration Wind Farm,Phase III,,,,No,Yes,,,,100,300000,,,,,Approved,3/8/2017
16332,Asia,CN,China,,Offshore,,NPC Nanao Offshore wind farm-phase 1,,23.5,117.3,-17,No,Yes,,,,,49500,CGN Wind Energy Ltd,,,,Planned,7/1/2016
16333,Asia,CN,China,,Offshore,,NPC Jieyang Golden Bay Offshore Wind Farm,,,-15.,,No,Yes (10 km),,,,,150000,,,,,Planned,3/8/2017
16336,Europe,EE,Estonia,,Offshore,,Baltic Blue B - Phase 3,,58.75,22.1,-26,No,Yes (18 km),,,,100,700000,Baltic Blue Energy OU,Baltic Blue Energy OU,Baltic Blue Energy OU,,Planned,28/05/2018
16340,Europe,NO,Norway,,Offshore,,Kvitsøy Wind Turbine Demonstration Area,,59.8,5.41,-40,Yes,Yes (10 km),,,,2,10000,METCentre,METCentre,,,Approved,8/6/2018
16341,Europe,NO,Norway,,Offshore,,Rennesøy Wind Turbine Demonstration Area,,59.6,5.61,-40,Yes,Yes (5 km),,,,2,10000,METCentre,METCentre,,,Approved,8/6/2018
16346,Asia,CN,China,,Offshore,,Shengsi #1 Offshore Wind Power Project,,30.57,121.64,-9,No,Yes (34 km),,,,,400000,,,,,Planned,7/1/2016
16347,Asia,CN,China,,Offshore,,NPC Qidong 200MW offshore wind farm,,32.1,121.8,-10,No,Yes (40 km),,,,,200000,CGN Wind Energy Ltd,,CGN Wind Energy Ltd,,Planned,7/1/2016
16348,Asia,CN,China,,Offshore,,NPC Nanao Offshore wind farm-phase 2,,23.5,117.3,-17,No,Yes,,,,,150000,CGN Wind Energy Ltd,,,,Planned,7/1/2016
16351,Europe,SE,Sweden,,Offshore,,Storgrundet,,61.15,17.46,-25,Yes,Yes (16 km),,,,70,420000,WPD,,WPD,,Approved,15/01/2018
16356,Europe,FI,Finland,,Offshore,,Kemi Ajos III,Kemin Ajoksen III,65.64,24.51,-10,No,Yes (7 km),,,,,189000,OX2,OX2,OX2,,Planned,12/6/2018
16360,Europe,FI,Finland,,Offshore,,Pori-Tahkoluoto,Pori 2,61.60803,21.25958,-21,Yes,Yes (8 km),Siemens,SWT-4.0-130,90,10,42000,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,2017/08,Production,12/6/2018
16363,Europe,EE,Estonia,,Offshore,,Liivi Iaht,Kihnu,57.97,23.98,-20,Yes,Yes (20 km),,,,,960000,Eesti Energia AS,Eesti Energia AS,Eesti Energia AS,,Planned,28/05/2018
16365,Europe,PL,Poland,,Offshore,,Baltica 1,,55.56,17.53,-25,No,Yes (90 km),,,,,1202500,Baltica 1 Sp,,Polska Grupa Energetyczna,,Planned,1/6/2018
16366,Europe,PL,Poland,,Offshore,,Baltica 2,,55.7,17.1,-40,No,Yes (40 km),,,,,1202500,Baltica 2 Sp,,Polska Grupa Energetyczna,,Planned,1/6/2018
16367,Europe,PL,Poland,,Offshore,,Baltica 3,,55.6,17.45,-40,No,Yes (34 km),,,,,1045500,Baltica 3 Sp,,Polska Grupa Energetyczna,,Planned,1/6/2018
16368,Europe,SE,Sweden,,Offshore,,Södra Midsjöbanken,,55.65,17.33,-20,Yes,Yes (70 km),,,,,2100000,E.ON Climate Renewables,,E.ON Climate Renewables,,Planned,15/01/2018
16369,Europe,SE,Sweden,,Offshore,,Karehamn,,56.98,17.2,-21,Yes,Yes (5 km),Vestas,V112/3000 Offshore,80,16,48000,E.ON Climate Renewables,E.ON Climate Renewables,E.ON Climate Renewables,2013/09,Production,15/01/2018
16371,Europe,SE,Sweden,,Offshore,,SeaTwirl 10MW,,58.25,11.3,-26,No,Yes,,,,1,10000,SeaTwirl AB,SeaTwirl AB,SeaTwirl AB,,Planned,15/01/2018
16373,Europe,SE,Sweden,,Offshore,,Rata Storgrund - phase 1,,64.21,12.,130,No,Yes,,,,,,,,Rewind Offshore AB,,Planned,15/01/2018
16374,Europe,SE,Sweden,,Offshore,,Taggen Vindpark,,55.86,14.57,-20,Yes,Yes (16 km),,,100,60,300000,Taggen Vindpark AB,,Vattenfall/,,Approved,15/01/2018
16375,Oceania,AU,Australia,,Offshore,,Star of the South Energy Project,,-38.79,146.92,-40,No,Yes (15 km),,,,,2000000,Offshore Energy,Offshore Energy,Offshore Energy,,Planned,5/7/2018
16376,Europe,SE,Sweden,,Offshore,,Kriegers Flak II,,55.7,13.1,1,Yes,Yes (20 km),,,,128,640000,Vattenfall,,Vattenfall,,Approved,29/06/2018
16378,Europe,SE,Sweden,,Offshore,,Stora Middelgrund,,56.6,12.12,-20,Yes,Yes (30 km),,,,108,864000,Universal Wind AB,,Universal Wind AB,,Approved,15/01/2018
16379,Europe,SE,Sweden,,Offshore,,Oskarshamn,,57.4,16.7,-2,No,Yes,,,,,400000,,,Rewind Offshore AB,,Planned,15/01/2018
16385,Asia,VN,Vietnam,,Offshore,,Bac Lieu Province Wind Power Plant,Phase 1,9.2366916,105.822296,0,Yes,Yes (0.4 km),GE Energy,1.6-82.5,90,10,16000,Cong Ly,Cong Ly,Cong Ly,2013/09,Production,31/05/2018
16386,Asia,VN,Vietnam,,Offshore,,Bac Lieu Province Wind Power Plant,Phase 2,9.221434,105.802796,0,Yes,Yes,GE Energy,1.6-82.5,90,52,83200,Cong Ly,Cong Ly,Cong Ly,2015/12,Production,31/05/2018
16387,Asia,CN,China,,Offshore,,HEC Offshore Wind Farm,,22.17,114.8,-40,No,Yes,,,75,35,100000,The HongKong Electric Company,,The HongKong Electric Company,,Approved,22/02/2018
16388,Asia,CN,China,,Offshore,,Lufeng Lake Bay Wind Farm,,22.7,115.7,-17.2,No,Yes,,,60,,1250000,Lufeng Baolihua New Enegy Electric Power Co,,,,Planned,3/10/2017
16390,Asia,CN,China,,Offshore,,Putian Pinghai bay offshore project phase B E Offshore Wind Farm,,25.115,119.286,-6,No,Yes (6 km),,,,,600000,,,,,Approved,7/1/2016
16391,Asia,CN,China,,Offshore,,Zhangpu Liuao offshore wind farm demonstration project,Phase 1,23.9,117.8,-12,No,Yes,XEMC-Darwind,,,,50000,China Datang Corporation renewable Power Co,,China Datang Corporation renewable Power Co,,Approved,7/1/2016
16392,Asia,CN,China,,Offshore,,Xiamen,Dacheng Island,24.3,118.2,-15,No,Yes,,,,,100000,,,,,Planned,2/7/2015
16393,Asia,CN,China,,Offshore,,Quanzhou,,24.79,118.85,-15,No,Yes,,,,,150000,,,,,Planned,7/1/2016
16394,Asia,CN,China,,Offshore,,Fuqing Haitan Strait Intertidal wind farm,,25.6,119.6,0,No,Yes,XEMC-Darwind,XE/DD115,62,40,200000,Huadian Power,,Huadian Power,,Approved,7/1/2016
16395,Asia,CN,China,,Offshore,,Fuqing Haitan Strait Offshore wind farm,,25.6,119.6,0,No,Yes,,,,,300000,Huadian Power,,Huadian Power,,Approved,7/1/2016
16396,Asia,CN,China,,Offshore,,Pingtan Offshore Wind Farm,,25.68,119.73,-6,No,Yes,Siemens,SWT-4.0-130,,75,300000,China Guodian,,China Guodian,,Construction,20/02/2018
16398,Asia,CN,China,,Offshore,,Dongtou offshore wind farm,,27.9,121.2,-13,No,Yes,,,,,600000,Dongtou Development and Reform bureau,,Dongtou Development and Reform bureau,,Planned,7/1/2016
16400,Asia,CN,China,,Offshore,,Linhai Wind Farm,,28.859,121.87,-5,No,Yes (18 km),,,,,100000,,,Three Gorges,,Planned,7/1/2016
16401,Asia,CN,China,,Offshore,,Xiangshan Offshore Windfarm,Phase 2,29.4,122.,-10,No,Yes (15 km),,,,,250000,China Guodian,,China Guodian,,Planned,7/1/2016
16404,America,CA,Canada,,Offshore,,Beothuk Energy Inc - Burgeo Banks,,47.5,-57.6,-277,No,Yes,,,,,1000000,Beothuk Energy Inc/,,Beothuk Energy Inc/PensionDanmark,,Planned,11/6/2018
16406,Asia,CN,China,,Offshore,,Cixi I,,30.3,121.4,-2,No,Yes,,,,,200000,,,Three Gorges,,Planned,7/1/2016
16409,Asia,CN,China,,Offshore,,Fengxian,,30.74,121.78,-8,No,Yes (10 km),,,,,100000,,,,,Approved,7/1/2016
16410,Asia,CN,China,,Offshore,,Fengxian Large Scale,,30.76,121.84,-8,No,Yes (8 km),,,,,300000,,,,,Approved,7/1/2016
16411,Asia,CN,China,,Offshore,,Donghai Bridge Offshore Wind Farm Phase II,,30.77,121.99,-10,No,Yes (8 km),Sinovel,SL 3000/90,91,34,102000,Shanghai Donghai Wind Power/CGN Wind Energy Ltd,Shanghai Donghai Wind Power,Shanghai Donghai Wind Power,2010/07,Production,19/02/2018
16412,Asia,CN,China,,Offshore,,Shengsi #5 Offshore Wind Power Project,,30.7,122.6,-17,No,Yes (22 km),,,,50,150000,,,,,Planned,7/1/2016
16413,Asia,CN,China,,Offshore,,Hengsha,,31.3,122.2,-1,No,Yes,,,,,200000,,,,,Planned,7/1/2016
16416,Asia,CN,China,,Offshore,,Huadian and Mingyang,,32.653,121.713,-10,No,Yes (43 km),Guangdong Mingyang,,,50,300000,,,,,Approved,7/1/2016
16417,Asia,CN,China,,Offshore,,Nantong Haian,Phase 1,32.6,120.9,2,No,Yes,,,,12,24000,Concord New Energy (China Windpower),,Concord New Energy (China Windpower),,Approved,24/11/2017
16418,Asia,CN,China,,Offshore,,Longyuan Rudong Intertidal Demonstration Project,,32.4,121.4,-16,No,Yes,,,,16,32000,LongYuan,LongYuan,LongYuan,2010/09,Production,19/02/2018
16420,Asia,CN,China,,Offshore,,Rudong Zhongshui (intertidal) 100MW demonstration project,,32.4,121.41,-21,No,Yes,Siemens,,,32,80000,SinoHydro Investment Limited Corporation,,,2015/12,Production,19/02/2018
16428,America,US,USA,,Offshore,,Vineyard Wind,,40.95,-70.59,-45,No,Yes (40 km),,,,,1600000,Vineyard Wind,,Vineyard Wind/PensionDanmark/Avangrid Renewables,,Planned,14/02/2018
16429,Asia,CN,China,,Offshore,,Dongtai wind farm stage 4,,32.99,121.37,0,No,Yes,Shanghai Electric,W3600/116,,84,302400,,,,,Construction,20/02/2018
16431,Asia,CN,China,,Offshore,,Dafeng Intertidal Demonstration,,,,,No,Yes,Shanghai Electric,W2000/93,,1,2000,,,,2009,Production,19/02/2018
16432,Asia,CN,China,,Offshore,,Jiangsu Dafeng offshore wind farm demonstration project,,33.34,120.71,-5,No,Yes (30 km),Goldwind,GW100/2500,82,80,200000,China Guodian,,China Guodian,,Approved,16/01/2017
16433,Asia,CN,China,,Offshore,,CPI Dafeng Intertidal Concession Project,,33.4,121.,-10,No,Yes,Goldwind,GW100/2500,82,80,200000,China Power Investment Corporation,,,,Planned,2/7/2015
16434,Asia,CN,China,,Offshore,,Jiangsu Rudong 150MW Offshore,Phase I,32.4,121.6,-6,No,Yes,Sinovel,SL 3000/90,,17,51000,LongYuan,LongYuan,LongYuan,2012/03,Production,19/02/2018
16436,Asia,CN,China,,Offshore,,Huaneng Dafeng Intertidal C4 Wind Power Demonstration Project,,33.133,121.5,-10,No,Yes (55 km),Sinovel,,,100,300000,,,,,Approved,7/1/2016
16437,Asia,CN,China,,Offshore,,Sheyang Offshore Concession Project,,33.98,120.82,-15,No,Yes (25 km),Sinovel,SL 3000/90,90,100,300000,China Power Investment Corporation,,China Power Investment Corporation,,Approved,23/02/2018
16438,Asia,CN,China,,Offshore,,Bin Hai Offshore Concession Project,,33.7,120.7,-11,No,Yes,Sinovel,SL 3000/90,90,100,300000,,,China Datang Corporation renewable Power Co,,Approved,19/07/2016
16439,Asia,CN,China,,Offshore,,CPI Binhai South offshore wind farm - Pilot,,34.19,120.39,-10,No,Yes (7 km),,,,8,48000,China Power Investment Corporation,,China Power Investment Corporation,,Approved,7/1/2016
16440,Asia,CN,China,,Offshore,,CPI Binhai South Development Zone,,34.2,120.4,-10,No,Yes,,,,,450000,,,China Power Investment Corporation,,Planned,7/1/2016
16441,America,US,USA,,Offshore,,US Wind Inc (New Jersey Call Response),,39.19,-74.2,-25,No,Yes (30 km),,,,,2230000,,,US Wind Inc,,Planned,14/02/2018
16442,Asia,CN,China,,Offshore,,Xiangshui Offshore Demonstation Project,,34.5,120.1,-10,No,Yes (9 km),Goldwind,,,18,48000,,,Three Gorges,2016/10,Production,19/02/2018
16444,Asia,CN,China,,Offshore,,Ganyu,Phase 1,34.8,119.4,-3,No,Yes (8 km),,,,,400000,Renewable Energy Asia Group Limited,,Renewable Energy Asia Group Limited,,Planned,7/1/2016
16445,Asia,CN,China,,Offshore,,Xiangshui Intertidal Pilot Project,Goldwind,34.5,119.9,-1,No,Yes,Goldwind,GW100/2500,80,1,2500,,Yangtze New Energies Development,Three Gorges,2011,Production,19/02/2018
16446,Asia,CN,China,,Offshore,,Xiangshui Intertidal Pilot Project,Shangai Electric,34.5,119.9,-1,No,Yes,Shanghai Electric,W2000/93,84,1,2000,,Yangtze New Energies Development,Three Gorges,2011,Production,19/02/2018
16447,Asia,CN,China,,Offshore,,Xiangshui Intertidal Pilot Project,Shangai Electric,34.5,119.9,-1,No,Yes,Shanghai Electric,W2000/93,70,1,2000,,Yangtze New Energies Development,Three Gorges,2011,Production,19/02/2018
16449,Asia,CN,China,,Offshore,,Lianyungang,,34.7,119.6,-7,No,Yes,,,,40,200000,China Guodian,China Guodian,China Guodian,,Planned,2/7/2015
16450,Asia,CN,China,,Offshore,,Ganyu,Phase 2,34.8,119.4,-3,No,Yes,,,,,1000000,Renewable Energy Asia Group Limited,,Renewable Energy Asia Group Limited,,Planned,7/1/2016
16452,Asia,CN,China,,Offshore,,CNOOC Weihai - Phase I,,36.9,112.6,1095.5,No,Yes,,,,34,102000,China National Offshore Oil Corp,China National Offshore Oil Corp,China National Offshore Oil Corp,,Approved,22/02/2018
16453,Asia,CN,China,,Offshore,,CNOOC Weihai - Roncheng - Northern Block,,37.1,122.7,-34,No,Yes,,,,,300000,China National Offshore Oil Corp,China National Offshore Oil Corp,China National Offshore Oil Corp,,Approved,16/01/2017
16454,Asia,CN,China,,Offshore,,Long Island County Extension,,37.98,120.37,-16,No,Yes,,,90,84,252000,Sanrong,,Sanrong,,Planned,2/7/2015
16455,Asia,CN,China,,Offshore,,Long Island County,,37.96,120.53,-10,No,Yes (19 km),,,90,16,48000,Sanrong,,Sanrong,,Approved,2/7/2015
16456,America,US,USA,,Offshore,,Galveston Met Mast,,29.2,-94.8,-12,No,Yes,,,,,3000,,,,,Approved,14/02/2018
16457,Asia,CN,China,,Offshore,,Datang Laizhou Wind Farm Phase III,,37.3,119.7,-8,No,Yes,China Creative Wind Energy,CCWE-1500/82.DF,,33,49500,China Datang Corporation renewable Power Co,China Datang Corporation renewable Power Co,China Datang Corporation renewable Power Co,2014/02,Production,2/7/2015
